Station Name,LONDON LAMBETH A,,,,,,,,,
Province,ONTARIO,,,,,,,,,
Latitude,42.98,,,,,,,,,
Longitude,-81.22,,,,,,,,,
Elevation,246.3,,,,,,,,,
Climate Identifier,6144481,,,,,,,,,
WMO Identifier,,,,,,,,,,
TC Identifier,,,,,,,,,,
,,,,,,,,,,
Legend,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,
E,Estimated,,,,,,,,,
M,Missing,,,,,,,,,
S,More than one occurrence,,,,,,,,,
T,Trace,,,,,,,,,
[empty],No data available,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,
,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1930-01,1930,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-02,1930,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-03,1930,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-04,1930,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-05,1930,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-06,1930,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-07,1930,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-08,1930,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-09,1930,9,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
1930-10,1930,10,14.1,2.6,8.4,25.6,-6.7,54.1,0,54.1
1930-11,1930,11,7.9,-1.9,3,20.6,-18.3,42.7,47.2,89.9
1930-12,1930,12,-0.1,-6.9,-3.5,8.9,-18.3,20.3,79,99.3
1931-01,1931,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-02,1931,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-03,1931,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-04,1931,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-05,1931,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-06,1931,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-07,1931,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-08,1931,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-09,1931,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-10,1931,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-11,1931,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-12,1931,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-01,1932,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-02,1932,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-03,1932,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-04,1932,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-05,1932,5,17.7,6.3,12,28.3,-4.4,127.5,0,127.5
1932-06,1932,6,23.3,11.8,17.6,28.9,2.2,22.9,0,22.9
1932-07,1932,7,24.5,13.6,19.1,32.2,5,259.6,0,259.6
1932-08,1932,8,25.9,13.1,19.5,33.9,6.7,74.7,0,74.7
1932-09,1932,9,21.7,9.2,15.5,27.2,-1.7,82.3,0,82.3
1932-10,1932,10,14.1,4.9,9.5,22.2,-4.4,81.5,0,81.5
1932-11,1932,11,4.7,-3.4,0.7,14.4,-13.9,68.1,17.8,85.9
1932-12,1932,12,1.2,-6.9,-2.9,11.7,-18.9,91.7,11.9,103.6
1933-01,1933,1,3.7,-3.7,0,13.3,-13.9,30,4.6,34.5
1933-02,1933,2,-0.5,-8.7,-4.6,8.9,-24.4,38.6,12.2,50.8
1933-03,1933,3,1.6,-4.2,-1.3,10,-17.2,65,24.6,89.7
1933-04,1933,4,11.7,2,6.9,21.1,-4.4,89.4,1,90.4
1933-05,1933,5,18.8,8.1,13.5,28.9,0,49.3,0,49.3
1933-06,1933,6,26.5,12.4,19.5,34.4,1.1,113.5,0,113.5
1933-07,1933,7,27.7,14.2,21,35.6,8.3,64.5,0,64.5
1933-08,1933,8,26.2,12.8,19.5,32.2,7.2,47.8,0,47.8
1933-09,1933,9,23.8,11.3,17.6,35.6,1.7,63,0,63
1933-10,1933,10,13.9,3.2,8.6,22.8,-6.1,61.5,0,61.5
1933-11,1933,11,3.9,-3.8,0.1,23.3,-15.6,63,57.9,120.9
1933-12,1933,12,-0.5,-8,-4.3,11.7,-23.3,50.8,39.1,89.9
1934-01,1934,1,0,-7.3,-3.7,6.1,-18.9,27.4,28.2,55.6
1934-02,1934,2,-7.9,-18.9,-13.4,1.1,-32.8,0,29.2,29.2
1934-03,1934,3,0.5,-8.1,-3.8,13.9,-18.9,54.9,16,70.9
1934-04,1934,4,9.5,-0.1,4.7,21.1,-7.8,73.2,13.7,86.9
1934-05,1934,5,21.1,6,13.6,30,-2.8,24.9,0,24.9
1934-06,1934,6,27.8,12.7,20.3,34.4,5.6,23.9,0,23.9
1934-07,1934,7,28.6,14.2,21.4,35,6.7,72.4,0,72.4
1934-08,1934,8,24.3,11.2,17.8,31.7,1.1,74.9,0,74.9
1934-09,1934,9,21.6,12.6,17.1,27.8,3.9,113.8,0,113.8
1934-10,1934,10,14.1,3,8.6,22.8,-6.7,35.1,24.4,59.4
1934-11,1934,11,8.6,1.3,5,17.2,-6.7,91.4,27.4,118.9
1934-12,1934,12,-1.1,-9.1,-5.1,6.1,-22.2,26.7,56.9,83.6
1935-01,1935,1,-2.6,-10.3,-6.5,5,-28.3,52.8,53.8,106.7
1935-02,1935,2,-2.2,-10.7,-6.5,5,-22.2,28.4,59.9,88.4
1935-03,1935,3,6.3,-2.9,1.7,17.2,-13.9,48,19.6,67.6
1935-04,1935,4,9.7,-0.1,4.8,21.1,-7.8,48.3,1.3,49.5
1935-05,1935,5,15,3.4,9.2,25,-2.2,84.3,0,84.3
1935-06,1935,6,21.8,10.7,16.3,27.8,2.2,116.8,0,116.8
1935-07,1935,7,28.1,16.2,22.2,33.9,11.1,99.8,0,99.8
1935-08,1935,8,24.4,14.5,19.5,30.6,4.4,88.1,0,88.1
1935-09,1935,9,19.8,7.8,13.8,29.4,-2.2,75.9,0,75.9
1935-10,1935,10,14.6,2.9,8.8,22.8,-5,40.6,0,40.6
1935-11,1935,11,6.3,-0.1,3.1,16.1,-8.9,100.8,3,103.9
1935-12,1935,12,-2.7,-9.1,-5.9,6.7,-25.6,13,95,107.2
1936-01,1936,1,-4.1,-10.7,-7.4,4.4,-21.7,5.6,49.3,54.9
1936-02,1936,2,-5.7,-15.5,-10.6,6.7,-23.9,20.8,46.5,67.3
1936-03,1936,3,5,-3,1,15.6,-18.9,18.5,26.4,45
1936-04,1936,4,7.6,-0.8,3.4,18.3,-8.3,65.5,17.3,82.8
1936-05,1936,5,20.8,7.6,14.2,29.4,-0.6,27.9,0,27.9
1936-06,1936,6,23.6,10.3,17,30.6,3.3,79,0,79
1936-07,1936,7,29.5,12.7,21.1,38.9,3.3,12.2,0,12.2
1936-08,1936,8,27.7,13.3,20.5,33.9,6.1,43.2,0,43.2
1936-09,1936,9,22.8,10.6,16.7,31.7,0.6,137.9,0,137.9
1936-10,1936,10,13.3,3.6,8.5,22.2,-6.7,90.4,0,90.4
1936-11,1936,11,4.1,-4.3,-0.1,16.7,-22.2,40.6,43.7,84.3
1936-12,1936,12,2.3,-5.7,-1.7,11.1,-21.1,69.6,14.2,83.8
1937-01,1937,1,1.7,-6.7,-2.5,12.8,-19.4,147.1,12.2,159.3
1937-02,1937,2,0,-7.7,-3.9,12.2,-17.2,39.6,23.4,63
1937-03,1937,3,1.2,-6.3,-2.6,7.2,-14.4,5.8,26.9,32.8
1937-04,1937,4,9.6,1.2,5.4,18.9,-3.9,210.1,5.1,215.1
1937-05,1937,5,18.2,6.8,12.5,29.4,0,55.4,0,55.4
1937-06,1937,6,22.8,12.3,17.6,30,5.6,80.8,0,80.8
1937-07,1937,7,26.6,14.9,20.8,32.8,6.1,69.1,0,69.1
1937-08,1937,8,27.2,15.4,21.3,31.1,8.9,109.5,0,109.5
1937-09,1937,9,20.4,7.9,14.2,32.8,0,82.3,0,82.3
1937-10,1937,10,11.6,3.1,7.4,25,-5,93.5,8.1,101.6
1937-11,1937,11,6.2,-1.9,2.2,15,-8.3,24.4,11.7,36.1
1937-12,1937,12,-1.6,-8.7,-5.2,5,-22.8,21.1,50.5,71.6
1938-01,1938,1,-2.8,-11.3,-7.1,7.2,-20,18,47,65
1938-02,1938,2,1.4,-6.2,-2.4,12.8,-17.8,138.7,14.2,152.9
1938-03,1938,3,7.7,-2.6,2.6,23.9,-16.7,80.8,13.2,94
1938-04,1938,4,12.1,2.3,7.2,27.8,-7.8,31.5,13.2,44.7
1938-05,1938,5,18.1,6.7,12.4,26.7,-1.7,101.3,0,101.3
1938-06,1938,6,22.8,11.1,17,30.6,3.9,47,0,47
1938-07,1938,7,27.2,15.2,21.2,31.7,8.3,109.7,0,109.7
1938-08,1938,8,27.4,15.8,21.6,31.7,8.3,38.4,0,38.4
1938-09,1938,9,19.5,8.6,14.1,26.7,2.8,65.3,0,65.3
1938-10,1938,10,16.6,3.6,10.1,27.8,-3.3,30,0,30
1938-11,1938,11,8.9,-1.6,3.7,20.6,-12.2,32.5,29,61.5
1938-12,1938,12,0.6,-6.2,-2.8,7.8,-19.4,24.6,48.8,73.4
1939-01,1939,1,-1,-9.4,-5.2,11.7,-21.1,5.6,56.6,62.2
1939-02,1939,2,-0.2,-9.2,-4.7,7.2,-20,85.9,36.6,122.4
1939-03,1939,3,2.4,-5.8,-1.7,19.4,-17.2,51.3,21.8,73.2
1939-04,1939,4,9,0.7,4.9,26.1,-10,95.3,8.6,103.9
1939-05,1939,5,20.3,6.8,13.6,30,-1.7,45.7,0,45.7
1939-06,1939,6,24.3,12.7,18.5,30,4.4,107.2,0,107.2
1939-07,1939,7,26.9,13.9,20.4,32.2,4.4,58.4,0,58.4
1939-08,1939,8,27.3,14.2,20.8,30.6,10,31,0,31
1939-09,1939,9,22.5,10.4,16.5,34.4,1.7,71.1,0,71.1
1939-10,1939,10,15,4.6,9.8,24.4,-4.4,84.1,0,84.1
1939-11,1939,11,6.2,-2.9,1.7,15.6,-8.3,21.8,3.3,25.1
1939-12,1939,12,2.1,-3.7,-0.8,10,-15.6,33.3,13.2,46.5
1940-01,1940,1,-5.6,-13.3,-9.5,4.4,-24.4,27.2,43.9,71.1
1940-02,1940,2,-1.4,-9.2,-5.3,4.4,-20,3.3,37.3,40.6
1940-03,1940,3,-1.3,-8,-4.7,11.7,-20,22.4,44.5,66.8
1940-04,1940,4,9.6,-0.8,4.4,22.8,-8.3,59.2,13.7,72.9
1940-05,1940,5,16.8,6.2,11.5,26.7,-1.1,116.8,2.5,119.4
1940-06,1940,6,22.7,12.4,17.6,30.6,3.9,132.6,0,132.6
1940-07,1940,7,26.5,14.3,20.4,32.8,6.7,75.9,0,75.9
1940-08,1940,8,24.2,14,19.1,30.6,1.7,226.1,0,226.1
1940-09,1940,9,20.2,9.1,14.7,29.4,0,58.9,0,58.9
1940-10,1940,10,13.4,3.1,8.3,23.3,-6.1,55.4,2.5,57.9
1940-11,1940,11,6,-1.1,2.5,18.3,-7.2,77.2,42.2,119.4
1940-12,1940,12,1.4,-5.4,-2,10.6,-18.9,61,24.9,85.9
1941-01,1941,1,-1.8,-8.7,-5.3,4.4,-21.7,19.3,47.5,66.8
1941-02,1941,2,-2.4,-9.1,-5.8,6.7,-16.1,3.8,28.4,32.3
1941-03,1941,3,1.6,-7.9,-3.2,12.8,-15.6,21.6,22.4,43.9
1941-04,1941,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-05,1941,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-06,1941,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-07,1941,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-08,1941,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-09,1941,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-10,1941,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-11,1941,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941-12,1941,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
